area_id,stop_id
1,100
1,101
1,102
1,103
1,104
1,105
1,106
1,107
1,108
1,109
1,110
1,111
1,112
1,113
1,113-2
1,114
1,115
1,116
1,116-2
2,117
2,117-2
2,118
2,118-2
2,119
2,119-2
3,120
3,121
3,122
3,123
3,124
3,125
3,126
1,200
1,201
1,202
1,202-2
1,203
1,204
1,205
1,206
1,207
1,208
1,209
1,210
1,210-2
3,212
3,213
3,214
3,215
3,216
3,217
3,217-2
3,218
3,218-2
3,219
1,222
1,223
1,224
1,300
1,300-2
1,301
1,301-2
